Frequency (Hz)	Level (dB)
43.066406	-62.215633
86.132813	-51.344776
129.199219	-47.542030
172.265625	-44.429497
215.332031	-22.675024
258.398438	-15.641414
301.464844	-20.727257
344.531250	-50.531570
387.597656	-53.207520
430.664063	-56.544762
473.730469	-32.593433
516.796875	-24.575821
559.863281	-28.671448
602.929688	-52.856331
645.996094	-60.949856
689.062500	-61.781200
732.128906	-44.836910
775.195313	-35.235676
818.261719	-38.064747
861.328125	-56.445744
904.394531	-65.070999
947.460938	-62.030933
990.527344	-43.491787
1033.593750	-32.258389
1076.660156	-33.879574
1119.726563	-51.226234
1162.792969	-64.163666
1205.859375	-65.712318
1248.925781	-52.137989
1291.992188	-38.658703
1335.058594	-38.800255
1378.125000	-52.634056
1421.191406	-65.956680
1464.257813	-67.653069
1507.324219	-63.855370
1550.390625	-49.562908
1593.457031	-47.968559
1636.523438	-58.496880
1679.589844	-71.461731
1722.656250	-68.987068
1765.722656	-57.968845
1808.789063	-33.179249
1851.855469	-29.084116
1894.921875	-37.118759
1937.988281	-63.228241
1981.054688	-67.856972
2024.121094	-72.969887
2067.187500	-53.210846
2110.253906	-46.206585
2153.320313	-51.182568
2196.386719	-73.772453
2239.453125	-71.768257
2282.519531	-71.889954
2325.585938	-55.049744
2368.652344	-43.245953
2411.718750	-44.447163
2454.785156	-60.896770
2497.851563	-70.848305
2540.917969	-77.375122
2583.984375	-67.505913
2627.050781	-48.843906
2670.117188	-46.364525
2713.183594	-56.416462
2756.250000	-75.565369
2799.316406	-82.680870
2842.382813	-77.357132
2885.449219	-57.213341
2928.515625	-49.692562
2971.582031	-54.201584
3014.648438	-78.659111
3057.714844	-83.757454
3100.781250	-82.361687
3143.847656	-72.727562
3186.914063	-60.112434
3229.980469	-59.642292
3273.046875	-72.254417
3316.113281	-87.509865
3359.179688	-77.229378
3402.246094	-63.287762
3445.312500	-51.808678
3488.378906	-45.123650
3531.445313	-50.106113
3574.511719	-77.636795
3617.578125	-75.471870
3660.644531	-67.395668
3703.710938	-60.727139
3746.777344	-52.087631
3789.843750	-50.388573
3832.910156	-60.397461
3875.976563	-77.528008
3919.042969	-78.166069
3962.109375	-74.511230
4005.175781	-70.030060
4048.242188	-59.083065
4091.308594	-60.557728
4134.375000	-75.900543
4177.441406	-84.598244
4220.507813	-82.369888
4263.574219	-81.452499
4306.640625	-65.490982
4349.707031	-57.464294
4392.773438	-61.328938
4435.839844	-81.200317
4478.906250	-81.288322
4521.972656	-81.697884
4565.039063	-84.807274
4608.105469	-68.606606
4651.171875	-62.872059
4694.238281	-68.880028
4737.304688	-92.098152
4780.371094	-93.357819
4823.437500	-92.138451
4866.503906	-91.453857
4909.570313	-76.062370
4952.636719	-70.912872
4995.703125	-77.421829
5038.769531	-88.940514
5081.835938	-91.289673
5124.902344	-95.244240
5167.968750	-98.162193
5211.035156	-71.212532
5254.101563	-65.580200
5297.167969	-71.925293
5340.234375	-91.622871
5383.300781	-99.630836
5426.367188	-98.480583
5469.433594	-89.747139
5512.500000	-66.568001
5555.566406	-58.895332
5598.632813	-63.278751
5641.699219	-86.371544
5684.765625	-96.805740
