Frequency (Hz)	Level (dB)
43.066406	-87.691132
86.132813	-76.673119
129.199219	-71.781860
172.265625	-65.466148
215.332031	-38.693554
258.398438	-31.602406
301.464844	-36.614838
344.531250	-65.751839
387.597656	-77.493134
430.664063	-79.204208
473.730469	-54.542576
516.796875	-46.454094
559.863281	-50.516640
602.929688	-75.044060
645.996094	-83.861153
689.062500	-78.856773
732.128906	-56.071644
775.195313	-46.710602
818.261719	-49.702820
861.328125	-70.407532
904.394531	-83.664101
947.460938	-89.279755
990.527344	-79.802818
1033.593750	-68.873062
1076.660156	-70.576309
1119.726563	-87.680244
1162.792969	-98.450470
1205.859375	-101.429329
1248.925781	-93.361511
1291.992188	-80.870232
1335.058594	-80.753723
1378.125000	-93.072624
1421.191406	-99.333725
1464.257813	-97.509697
1507.324219	-88.393265
1550.390625	-71.634041
1593.457031	-69.983154
1636.523438	-81.100197
1679.589844	-98.296547
1722.656250	-100.774223
1765.722656	-97.775177
1808.789063	-77.171745
1851.855469	-73.152176
1894.921875	-81.231331
1937.988281	-101.718185
1981.054688	-106.926643
2024.121094	-109.303986
2067.187500	-90.352852
2110.253906	-83.302277
2153.320313	-88.260826
2196.386719	-106.615944
2239.453125	-106.973145
2282.519531	-107.926743
2325.585938	-95.246056
2368.652344	-84.399529
2411.718750	-86.027016
2454.785156	-101.411652
2497.851563	-106.933235
2540.917969	-108.671974
2583.984375	-107.504555
2627.050781	-92.682098
2670.117188	-90.320816
2713.183594	-99.643227
2756.250000	-108.783630
2799.316406	-108.722191
2842.382813	-108.351151
2885.449219	-104.725029
2928.515625	-100.407341
2971.582031	-104.495125
3014.648438	-109.373795
3057.714844	-109.766747
3100.781250	-109.536964
3143.847656	-108.561699
3186.914063	-100.655190
3229.980469	-100.424400
3273.046875	-108.932846
3316.113281	-111.204376
3359.179688	-110.742599
3402.246094	-103.471642
3445.312500	-97.281303
3488.378906	-91.830299
3531.445313	-96.857483
3574.511719	-110.046959
3617.578125	-110.250137
3660.644531	-108.262550
3703.710938	-106.869141
3746.777344	-107.334129
3789.843750	-108.303757
3832.910156	-110.588531
3875.976563	-109.957977
3919.042969	-110.310356
3962.109375	-110.538773
4005.175781	-110.546593
4048.242188	-107.243759
4091.308594	-107.120392
4134.375000	-110.902809
4177.441406	-110.384933
4220.507813	-110.375473
4263.574219	-110.521835
4306.640625	-110.771721
4349.707031	-109.001633
4392.773438	-109.299866
4435.839844	-109.690659
4478.906250	-111.029610
4521.972656	-110.999413
4565.039063	-110.489868
4608.105469	-109.963394
4651.171875	-110.816101
4694.238281	-111.370781
4737.304688	-111.681602
4780.371094	-111.607857
4823.437500	-111.313927
4866.503906	-111.531433
4909.570313	-110.518471
4952.636719	-109.936813
4995.703125	-111.029533
